Mã CK,Sàn niêm yết,Tên Doanh Nghiệp (Tiếng Việt),Tên Tiếng Anh (English Name),Trang chủ (Website),Cổng Cổ đông (IR Portal),Ngành ICB Cấp 1,Ngành ICB Cấp 2,Mã ISIN Quốc tế,Giá tham chiếu (VND),Trạng thái giao dịch
AAA,HOSE,Công ty Cổ phần Nhựa An Phát Xanh,An Phat Bioplastics Joint Stock Company,https://anphatbioplastics.com,https://anphatbioplastics.com/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000AAA4,7350,Đang giao dịch
AAM,HOSE,Công ty Cổ phần Thủy sản Mekong,Mekong Fisheries Joint Stock Company,http://mekongfish.vn,http://mekongfish.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000AAM9,7600,Đang giao dịch
AAN,HOSE,Công ty Cổ phần Lương thực A An,A AN FOOD JOIN STOCK COMPANY,https://aan.vn,https://aan.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000AAN7,15650,Đang giao dịch
AAT,HOSE,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Tien Son Thanh Hoa Group Joint Stock Company,http://tiensonaus.com,http://tiensonaus.com/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000AAT4,2200,Đang giao dịch
ABR,HOSE,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,Viet Brand Invest Joint Stock Company,http://vbinvest.com.vn,http://vbinvest.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000ABR6,10900,Đang giao dịch
ABS,HOSE,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Binh Thuan Agriculture Services JSC,http://bitagco.com,http://bitagco.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000ABS4,2900,Đang giao dịch
ABT,HOSE,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Bentre Aquaproduct Import And Export Joint Stock Company,http://aquatexbentre.com,http://aquatexbentre.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000ABT2,50300,Đang giao dịch
ACB,HOSE,Ngân hàng Thương mại Cổ phần Á Châu,Asia Commercial Joint Stock Bank,https://acb.com.vn,https://acb.com.vn/quan-he-nha-dau-tu,Tài chính,Ngân hàng,VN000000ACB8,22450,Đang giao dịch
ACC,HOSE,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,ACC Binh Duong Investment and Construction Joint Stock Company,http://becamexacc.com.vn,http://becamexacc.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000ACC6,4490,Đang giao dịch
ACG,HOSE,Công ty Cổ phần Gỗ An Cường,An Cuong Wood - Working Joint Stock Company,https://ancuong.com,https://ancuong.com/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000ACG7,31900,Đang giao dịch
ACL,HOSE,Công ty Cổ phần Xuất Nhập Khẩu Thủy sản Cửu Long An Giang,Cuu Long Fish Joint Stock Company,https://clfish.com,https://clfish.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000ACL7,12000,Đang giao dịch
ADG,HOSE,Công ty Cổ phần Clever Group,Clever Group Corporation,https://clevergroup.vn,https://clevergroup.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000ADG5,8390,Đang giao dịch
ADP,HOSE,Công ty Cổ phần Sơn Á Đông,A Dong Paint Stock Company,http://adongpaint.com.vn,http://adongpaint.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000ADP6,23900,Đang giao dịch
ADS,HOSE,Công ty Cổ phần Damsan,Damsan Joint Stock Company,http://damsanjsc.vn,http://damsanjsc.vn/quan-he-co-dong,Hàng tiêu dùng,Hàng cá nhân & May mặc,VN000000ADS0,8090,Đang giao dịch
