ticker,year,company_name,exchange,icb_l1,icb_l2,expected_filename,priority,search_status,source,notes
A32,2010,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2010_BCTN.pdf,P3,pending,,
A32,2011,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2011_BCTN.pdf,P3,pending,,
A32,2012,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2012_BCTN.pdf,P3,pending,,
A32,2013,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2013_BCTN.pdf,P3,pending,,
A32,2014,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2014_BCTN.pdf,P3,pending,,
A32,2015,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2015_BCTN.pdf,P3,pending,,
A32,2016,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2016_BCTN.pdf,P3,pending,,
A32,2017,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2017_BCTN.pdf,P3,pending,,
A32,2018,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2018_BCTN.pdf,P3,pending,,
A32,2019,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2019_BCTN.pdf,P3,pending,,
A32,2020,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2020_BCTN.pdf,P3,pending,,
A32,2021,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2021_BCTN.pdf,P3,pending,,
A32,2022,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2022_BCTN.pdf,P3,pending,,
A32,2023,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2023_BCTN.pdf,P3,pending,,
A32,2024,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2024_BCTN.pdf,P3,pending,,
A32,2025,Công ty Cổ phần 32,UPCOM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,A32_2025_BCTN.pdf,P3,pending,,
AAA,2010,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2010_BCTN.pdf,P3,pending,,
AAA,2011,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2011_BCTN.pdf,P3,pending,,
AAA,2012,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2012_BCTN.pdf,P3,pending,,
AAA,2013,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2013_BCTN.pdf,P3,pending,,
AAA,2014,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2014_BCTN.pdf,P3,pending,,
AAA,2015,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2015_BCTN.pdf,P2,pending,,
AAA,2016,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2016_BCTN.pdf,P2,pending,,
AAA,2017,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2017_BCTN.pdf,P2,pending,,
AAA,2018,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2018_BCTN.pdf,P1,pending,,
AAA,2019,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2019_BCTN.pdf,P1,pending,,
AAA,2020,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2020_BCTN.pdf,P1,pending,,
AAA,2021,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2021_BCTN.pdf,P1,pending,,
AAA,2022,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2022_BCTN.pdf,P1,pending,,
AAA,2023,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2023_BCTN.pdf,P1,pending,,
AAA,2024,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2024_BCTN.pdf,P1,pending,,
AAA,2025,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,AAA_2025_BCTN.pdf,P1,pending,,
AAH,2010,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2010_BCTN.pdf,P3,pending,,
AAH,2011,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2011_BCTN.pdf,P3,pending,,
AAH,2012,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2012_BCTN.pdf,P3,pending,,
AAH,2013,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2013_BCTN.pdf,P3,pending,,
AAH,2014,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2014_BCTN.pdf,P3,pending,,
AAH,2015,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2015_BCTN.pdf,P3,pending,,
AAH,2016,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2016_BCTN.pdf,P3,pending,,
AAH,2017,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2017_BCTN.pdf,P3,pending,,
AAH,2018,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2018_BCTN.pdf,P3,pending,,
AAH,2019,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2019_BCTN.pdf,P3,pending,,
AAH,2020,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2020_BCTN.pdf,P3,pending,,
AAH,2021,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2021_BCTN.pdf,P3,pending,,
AAH,2022,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2022_BCTN.pdf,P3,pending,,
AAH,2023,Công ty Cổ phần Hợp Nhất,UPCOM,Nguyên vật liệu,Tài nguyên Cơ bản,AAH_2023_BCTN.pdf,P3,pending,,
AAN,2010,Công ty Cổ phần Lương thực A An,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,AAN_2010_BCTN.pdf,P3,pending,,
AAN,2011,Công ty Cổ phần Lương thực A An,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,AAN_2011_BCTN.pdf,P3,pending,,
AAN,2012,Công ty Cổ phần Lương thực A An,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,AAN_2012_BCTN.pdf,P3,pending,,
AAN,2013,Công ty Cổ phần Lương thực A An,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,AAN_2013_BCTN.pdf,P3,pending,,
AAN,2014,Công ty Cổ phần Lương thực A An,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,AAN_2014_BCTN.pdf,P3,pending,,
AAN,2015,Công ty Cổ phần Lương thực A An,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,AAN_2015_BCTN.pdf,P2,pending,,
AAN,2016,Công ty Cổ phần Lương thực A An,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,AAN_2016_BCTN.pdf,P2,pending,,
AAN,2017,Công ty Cổ phần Lương thực A An,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,AAN_2017_BCTN.pdf,P2,pending,,
AAN,2018,Công ty Cổ phần Lương thực A An,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,AAN_2018_BCTN.pdf,P1,pending,,
AAN,2019,Công ty Cổ phần Lương thực A An,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,AAN_2019_BCTN.pdf,P1,pending,,
