ticker,company_name_and_sector
A32,Công ty cổ phần 32Sản xuất Dệt may - Da giày
AAH,Công ty cổ phần Hợp NhấtKhai thác Than
AAS,Công ty cổ phần Chứng khoán SmartInvestDịch vụ Tài chính
AAV,Công ty cổ phần AAV GroupBất động sản & Thương mại
ABB,Ngân hàng Thương mại cổ phần An BìnhTài chính - Ngân hàng
ABC,Công ty cổ phần Truyền thông VMGTruyền thông Số & Dịch vụ Nội dung
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông nghiệpBảo hiểm Phi Nhân thọ
ABW,CTCP Chứng khoán An BìnhDịch vụ Tài chính
ACE,CTCP Bê tông Ly tâm An GiangSản xuất Bê tông & VLXD
ACM,CTCP Tập đoàn Khoáng sản Á CườngKhai thác Khoáng sản
ADC,Công ty cổ phần Mĩ thuật và Truyền thôngIn ấn & Xuất bản Giáo dục
ALT,Công ty cổ phần Văn hóa Tân BìnhBao bì Nhựa & Truyền thông
AMC,Công ty cổ phần Khoáng sản Á ChâuKhai thác Khoáng sản Công nghiệp
AME,Công ty cổ phần Alphanam E&CXây dựng Cơ điện & Thang máy
AMV,CTCP SXKD Dược và trang thiết bị y tế Việt MỹY tế - Phân phối Trang thiết bị
API,Công ty cổ phần Đầu tư Châu Á - Thái Bình DươngBất động sản Dân dụng
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình DươngDịch vụ Tài chính - Môi giới
ARM,Công ty cổ phần Xuất nhập khẩu Hàng khôngThương mại & Dịch vụ Hàng không
ART,Công ty cổ phần Chứng khoán BOSDịch vụ Tài chính
ATS,Công ty cổ phần Tập đoàn đầu tư ATSDịch vụ - Lưu trú Khách sạn
BAB,Ngân hàng TMCP Bắc ÁTài chính - Ngân hàng
BAX,Công ty Cổ phần Thống NhấtBất động sản KCN (Bàu Xéo)
BBS,Công ty Cổ phần VICEM Bao bì Bút SơnSản xuất Bao bì Xi măng
BCC,Công ty cổ phần Xi măng Bỉm SơnVật liệu Xây dựng - Xi măng
BCF,Công ty Cổ phần Thực phẩm Bích ChiThực phẩm - Bột dinh dưỡng
BED,Công ty Cổ phần Sách và Thiết bị Trường học Đà NẵngGiáo dục - Sách & Thiết bị
BII,CTCP Đầu tư và Phát triển Công nghiệp Bảo ThưBất động sản KCN & Cát
BKC,Công ty Cổ phần Khoáng sản Bắc KạnKhai thác Chì kẽm
BNA,Công ty Cổ phần Tập đoàn Đầu tư Bảo NgọcThực phẩm Bánh kẹo (Diện cảnh báo)
BPC,Công ty Cổ phần VICEM Bao bì Bỉm SơnSản xuất Bao bì
BSA,CTCP Thủy điện Buôn ĐônSản xuất Thủy điện
BTS,Công ty cổ phần Xi măng Vicem Bút SơnVật liệu Xây dựng - Xi măng
BTW,Công ty Cổ phần Cấp nước Bến ThànhTiện ích Cấp thoát nước
BVS,Công ty Cổ phần Chứng khoán Bảo ViệtDịch vụ Tài chính Ngân hàng
BXH,Công ty Cổ phần VICEM Bao bì Hải PhòngSản xuất Bao bì Nhựa & Giấy
C69,Công ty Cổ phần Xây dựng 1369Xây dựng & Khai thác Mỏ
CAG,CTCP Cảng An GiangVận tải Cảng sông
CAN,Công ty cổ phần Đồ hộp Hạ LongChế biến Đồ hộp - Thực phẩm
CAP,CTCP Lâm nông sản thực phẩm Yên BáiNông Lâm sản & Giấy vàng mã
CAR,CTCP Tập đoàn Giáo dục Trí ViệtGiáo dục & Đào tạo
CCR,CTCP Cảng Cam RanhKhai thác Cảng biển
CCS,Công ty cổ phần Đầu tư Xây dựng CCSThi công Xây dựng
CDN,CTCP Cảng Đà NẵngDịch vụ Cảng biển Logistics
CEO,Công ty Cổ phần Tập đoàn C.E.OBất động sản Khu Đô thị & Nghỉ dưỡng
CET,Công ty Cổ phần HTC HoldingNông nghiệp Công nghệ cao (Bị KS)
CJC,Cơ điện Miền TrungCơ khí Xây lắp Điện
CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên GiangBất động sản Khu Đô thị
CKV,Công ty Cổ phần CokyVinaKinh doanh Thiết bị Viễn thông
CLM,Công ty cổ phần Xuất nhập khẩu Than - VinacominNhập khẩu & Kinh doanh Than
CMF,CTCP Thực phẩm CholimexSản xuất Nước chấm Thực phẩm
CMI,CTCP CMISTONE Việt NamChế tác & Khai thác Đá
CMK,CTCP Cơ khí Mạo Khê - VinacominCơ khí Phục vụ Ngành Than
CMM,CTCP CamimexChế biến Thủy sản Xuất khẩu
CMN,CTCP Lương thực Thực phẩm Colusa - MiliketSản xuất Mì ăn liền
CMP,Công ty Cổ phần Cảng Chân MâyKhai thác Cảng biển
CMS,Công ty Cổ phần Tập đoàn CMH Việt NamThi công Xây dựng Hạ tầng ngầm
CMT,CTCP Công nghệ Mạng và Truyền ThôngDịch vụ Hạ tầng Viễn thông
CMW,CTCP Cấp nước Cà MauCấp nước Sinh hoạt
CNA,CTCP Tổng Công ty Chè Nghệ AnChế biến Chè Nông sản
CPC,Công ty Cổ phần Thuốc sát trùng Cần ThơHóa chất Nông nghiệp (Thuốc trừ sâu)
CPH,CTCP Phục vụ Mai táng Hải PhòngDịch vụ Công ích Mai táng
CPI,CTCP Đầu tư Cảng Cái LânPhát triển Cảng biển
CQN,CTCP Cảng Quảng NinhKhai thác Cảng Xếp dỡ
CQT,CTCP Xi măng Quán Triều VVMIVật liệu Xây dựng - Xi măng
CSC,Công ty Cổ phần Tập đoàn COTANABất động sản Sinh thái
CTB,Công ty Cổ phần Chế tạo Bơm Hải DươngCơ khí & Chế tạo Máy bơm
CTP,CTP Group CorporationThương mại Vật liệu & Giao thông
CTT,Vinacomin - Machinery Joint Stock CompanyChế tạo Máy Mỏ
CX8,CTCP Đầu tư và Xây lắp Constrexim số 8Xây lắp Công trình Dân dụng
D11,Công ty Cổ phần Địa ốc 11Bất động sản Dân cư
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà NẵngXuất bản Sách & Giáo dục
DAE,CTCP Sách giáo dục tại Tp. Đà NẵngBán buôn Sách Thiết bị Giáo dục
DC2,Đầu tư Phát triển Xây dựng số 2Thi công Xây dựng
DCF,CTCP Xây dựng và Thiết kế Số 1Tư vấn Thiết kế Xây dựng
DCG,CTCP Tổng Công ty May Đáp CầuSản xuất Dệt may
DCH,CTCP Địa chính Hà NộiDịch vụ Đo đạc Bản đồ
DCR,CTCP Gạch men CosevcoSản xuất Gạch men
DCS,Công ty Cổ phần Tập đoàn EDXThương mại & Chế biến Gỗ
DCT,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng NaiSản xuất Vật liệu Xây dựng
DCV,CTCP Quản lý quỹ Đầu tư Dragon Capital Việt NamQuản lý Quỹ Đầu tư
DDB,CTCP Thương mại và Xây dựng Đông DươngThương mại Vật liệu
DDG,Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông DươngSản xuất Năng lượng Sinh khối
DDH,CTCP Đảm bảo giao thông đường thủy Hải PhòngNạo vét & Giao thông Thủy
DHP,Công ty Cổ phần Điện cơ Hải PhòngChế tạo Quạt & Thiết bị điện
DHT,Công ty Cổ phần Dược phẩm Hà TâyY tế - Dược phẩm & Thuốc
DIH,Đầu tư Xây dựng Hội AnĐầu tư - Xây dựng & Lưu trú
DL1,Công ty Cổ phần Tập đoàn Alpha SevenDịch vụ Bến xe & Đầu tư Điện Mặt trời
DNC,Điện nước lắp máy Hải PhòngXây lắp điện nước Công trình
DNP,"DNP HoldingCông nghiệp, Ngành Nhựa & Cấp nước"
DST,"Công ty Cổ phần Đầu tư Sao Thăng LongBất động sản, Vật liệu - Đầu tư"
DTD,Công ty Cổ phần Đầu tư Phát triển Thành ĐạtHạ tầng Khu Công nghiệp Đồng Văn
DVM,CTCP Dược liệu Việt NamKinh doanh Đông dược Y học Cổ truyền
DWC,CTCP Cấp nước Đắk LắkCấp nước Sinh hoạt
DWS,CTCP Cấp nước và Môi trường đô thị Đồng ThápVệ sinh Môi trường & Nước
DXL,CTCP Du lịch và Xuất nhập khẩu Lạng SơnDịch vụ Du lịch Xuất nhập khẩu
DXP,Công ty Cổ phần Cảng Đoạn XáCảng biển Xếp dỡ & Logistics
E12,CTCP Xây dựng điện Vneco 12Lắp ráp Xây dựng Trạm điện
EBS,Sách Giáo dục tại Tp. Hà NộiIn ấn Phát hành Sách Giáo khoa
ECI,Tập đoàn ECIĐầu tư Khai thác Giáo dục
EID,Đầu tư Phát triển Giáo dục Hà NộiPhát hành Thiết bị & Sách Giáo dục
EVS,Công ty Cổ phần Chứng khoán EverestDịch vụ Tài chính Đầu tư
FT1,CTCP Phụ tùng máy số 1Chế tạo Cơ khí Phụ tùng
FTI,CTCP Công nghiệp - Thương mại Hữu NghịCông nghiệp Bao bì Thực phẩm
FTM,CTCP Đầu tư và Phát triển Đức QuânKinh doanh Sợi Cotton & Dệt may
G20,CTCP Đầu tư Dệt may Vĩnh PhúcDệt may Thời trang
G36,Tổng Công ty 36 - CTCPXây dựng Quốc phòng & Công trình
GH3,CTCP Công trình Giao thông Hà NộiXây lắp Giao thông Cầu đường
GLC,CTCP Vàng Lào CaiKhai thác Quặng Vàng
GLT,Công ty Cổ phần Kỹ thuật Điện Toàn CầuTích hợp Dịch vụ & Lắp ráp Điện lưới
GLW,CTCP Cấp thoát nước Gia LaiDịch vụ Cấp nước Tỉnh Gia Lai
GMC,CTCP Garmex Sài GònGia công May mặc Xuất khẩu
GMX,Công ty Cổ phần Gạch Ngói Gốm Xây dựng Mỹ XuânVật liệu Xây dựng Đất sét nung
HAD,Công ty cổ phần Bia Hà Nội - Hải DươngSản xuất Bia & Đồ uống có cồn
HAT,Công ty cổ phần Thương mại Bia Hà NộiThương mại & Phân phối Đồ uống
HBS,Công ty Cổ phần Chứng khoán Hòa BìnhDịch vụ Tài chính Môi giới
HC1,CTCP Xây dựng số 1 Hà NộiXây dựng Dân dụng
HC3,CTCP Xây dựng số 3 Hải PhòngXây dựng Công trình Chuyên dụng
HCC,Công ty Cổ phần Bê tông Hòa Cầm - IntimexVật liệu Bê tông Thương phẩm
HCI,CTCP Đầu tư - Xây dựng Hà NộiXây dựng Hạ tầng
HCT,CTCP Thương mại-Dịch vụ-Vận tải Xi măng Hải PhòngVận tải Bộ & Logistics Vật liệu
HD2,CTCP Đầu tư Phát triển nhà HUD2Bất động sản Dân dụng
HD6,CTCP Đầu tư và Phát triển Nhà số 6 Hà NộiBất động sản & Xây lắp
HD8,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8Kinh doanh Phát triển Đô thị
HDA,"Công ty cổ phần Hãng sơn Đông ÁHóa chất, Sơn & Chống thấm"
HEV,Công ty Cổ phần Sách Đại học - Dạy nghềXuất bản Phát hành Sách Chuyên môn
HGM,Công ty Cổ phần Cơ khí và Khoáng sản Hà GiangKhai thác Quặng Antimon
HHN,CTCP Vận tải và Dịch vụ Hàng hóa Hà NộiVận tải Hàng hóa Đường bộ
HHC,Công ty Cổ phần Bánh kẹo Hải HàThực phẩm - Bánh kẹo & Đồ ngọt
HIO,Công ty cổ phần Helio EnergyNăng lượng Tái tạo (Mặt trời)
HJC,CTCP Hòa ViệtChế biến Sợi & Lá Thuốc lá
HJS,Công ty Cổ phần Thủy điện Nậm MuSản xuất Điện năng (Thủy điện)
HKB,CTCP Nông nghiệp và Thực phẩm Hà Nội-Kinh BắcChế biến Nông sản Tiêu thụ
HKT,Công ty cổ phần QP HoldingsKinh doanh Thương mại Đa ngành
HLC,Công ty Cổ phần Than Hà Lầm - VinacominKhai thác & Tuyển Than Hầm lò
HLD,CTCP Đầu tư và phát triển Bất động sản HUDLANDBất động sản Đô thị (HUD Group)
HMG,Công ty Cổ phần Kim khí Hà Nội - VNSTEELKinh doanh Thương mại Thép
HMH,"Công ty Cổ phần Hải MinhLogistics, Vận tải biển & Đại lý Cảng"
HMS,CTCP Xây dựng bảo tàng Hồ Chí MinhThi công Xây dựng Văn hóa
HNB,CTCP Bến Xe Hà NộiQuản lý & Vận hành Bến xe
HND,CTCP Nhiệt điện Hải PhòngSản xuất Nhiệt điện Than
HOM,Công ty Cổ phần Xi măng VICEM Hoàng MaiVật liệu Xây dựng - Sản xuất Xi măng
HSP,CTCP Sơn tổng hợp Hà NộiSản xuất Sơn Công nghiệp
HSV,"CTCP Tập đoàn HSV Việt NamCông nghiệp Đa ngành (Nhựa, Bao bì)"
HTC,Thương mại Hóc MônPhân phối Nông sản & Quản lý Chợ đầu mối
HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí MinhKinh doanh Bất động sản Điện lực
HTM,Tổng công ty Thương mại Hà Nội - CTCPBán lẻ & Bất động sản Thương mại
HUT,Công ty Cổ phần TascoPhát triển Hạ tầng Giao thông & Thu phí BOT
HVT,"Hóa chất Việt TrìSản xuất Hóa chất Cơ bản (Xút, Axit)"
ICG,Xây dựng Sông HồngXây dựng Dân dụng & Bất động sản
IDJ,Công ty Cổ phần Đầu tư IDJ Việt NamBất động sản Thương mại & Dịch vụ
IDV,Phát triển Hạ tầng Vĩnh PhúcHạ tầng Khu Công nghiệp (Khai Quang)
INC,Tư vấn Đầu tư IDICOTư vấn Khảo sát Thiết kế Xây dựng
INN,In và Bao bì Nông nghiệpIn ấn Nhãn mác & Bao bì Nông dược
ITQ,Tập đoàn Thiên QuangCông nghiệp Cơ khí & Cán Thép
IVS,Chứng khoán Guotai Junan (Việt Nam)Dịch vụ Môi giới & Tài chính
KHX,Công ty Cổ phần Phát hành sách Khánh HòaKinh doanh Sách & Văn phòng phẩm
KIP,Công ty Cổ phần K.I.P Việt NamSản xuất Thiết bị Điện Dân dụng
KKC,Tập đoàn Thành TháiKinh doanh Kim khí & Vật tư
KMT,Kim khí Miền TrungKinh doanh Sắt Thép Xây dựng
KPF,Công ty Cổ phần Đầu tư Tài sản KojiĐầu tư Xây dựng & Nông nghiệp
KSD,Đầu tư DNAĐầu tư Tài chính Khởi nghiệp
KSQ,CTCP CNC Capital Việt NamCông nghiệp & Khai khoáng
KST,Công ty Cổ phần KASATICung ứng Viễn thông & Công nghệ Thông tin
KTC,CTCP Thương mại Kiên GiangThương mại Xăng dầu & Nông sản
KTL,Công ty Cổ phần Kim khí Thăng LongCông nghiệp Kim loại & Phụ tùng Cơ khí
KTS,Đường Kon TumNông nghiệp Chế biến Mía đường
KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim VĩSản xuất Inox & Gia công Thép Không Gỉ
L14,Công ty Cổ phần Licogi 14Bất động sản Khu Đô thị & Thi công Cơ giới
L18,Công ty Cổ phần Đầu tư và Xây dựng số 18Thầu Xây dựng Hạ tầng & Công trình Thủy
LAS,"CTCP Supe Phốt phát và Hóa chất Lâm ThaoHóa chất, Phân bón NPK & Hữu cơ"
LBE,"Sách Thiết bị trường học Long AnGiáo dục, Xuất bản & Phát hành Sách"
LCD,Lắp máy Điện nướcLắp máy Cơ điện & Công trình Dân dụng
LDP,CTCP Dược Lâm Đồng - LadopharY tế - Chiết xuất Thảo dược & Sản xuất Thuốc
LG9,Công ty Cổ phần Cơ giới và Xây lắp Số 9Xây dựng Cơ giới (Diện cảnh báo)
LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm ĐồngXây dựng Thủy lợi & Cầu đường
LIG,"Công ty Cổ phần LICOGI 13Xây dựng Hạ tầng, Nền móng & Năng lượng"
MAC,Cung ứng và Dịch vụ Hàng hảiDịch vụ Hàng hải & Logistics Container
MAS,Công ty cổ phần Dịch vụ Hàng Không Sân Bay Đà NẵngDịch vụ Mặt đất Hàng không
MCC,"Gạch ngói Cao cấpSản xuất Gạch ngói, Vật liệu Đất sét nung"
MCF,Xây lắp Cơ khí và Lương thực Thực phẩmLắp ráp Cơ khí Nông nghiệp & Chế biến
MCO,Đầu tư và Xây dựng số 1 Mê KôngXây dựng Giao thông Thủy & Công trình Sông
MDC,Than Mông Dương - VinacominKhai thác & Tuyển Than (TKV)
MED,Công ty cổ phần Dược Trung Ương MediplantexY tế - Kinh doanh Dược phẩm Y dược Cổ truyền
MGC,CTCP Địa chất Mỏ - TKVThăm dò & Khảo sát Địa chất Mỏ
MGG,Tổng công ty Đức Giang - Công ty cổ phầnSản xuất & May mặc Thời trang (May Đức Giang)
MGR,CTCP Tập đoàn MgroupĐầu tư Đa ngành
MH3,CTCP Khu công nghiệp cao su Bình LongBất động sản Khu Công nghiệp & Trồng Cao su
MIC,"Kỹ nghệ Khoáng sản Quảng NamKhai thác Khoáng sản (Cát Silica, Quặng)"
MQN,CTCP Môi trường đô thị Quảng NgãiXử lý Rác thải & Dịch vụ Môi trường Công ích
MRF,"CTCP MerufaSản xuất Vật tư Y tế (Bao cao su, Găng tay)"
MSR,CTCP Masan High-Tech MaterialsKhai thác Khoáng sản Quý Hiếm (Vonfram)
MST,Công ty cổ phần Đầu tư MSTThi công Xây lắp & Đầu tư Hạ tầng
MTA,Tổng công ty Khoáng sản và Thương mại Hà Tĩnh - CTCPKhai thác Quặng Titan & Thương mại Nông sản
MVB,"Tổng CT Công nghiệp mỏ Việt Bắc TKV-CTCPKhai thác Than, Chế tạo Vật liệu Xi măng"
NAU,Công ty Cổ phần Vận tải biển Nam TriệuVận tải biển & Đại lý Cảng
NBC,Công ty Cổ phần Than Núi Béo - VinacominKhai thác Than & Chế biến Than Sạch
NBP,CTCP Nhiệt điện Ninh BìnhSản xuất & Phát điện (Nhiệt điện than)
NCG,"CTCP Tập đoàn Anova AgriSản xuất Nông nghiệp Công nghệ, Thức ăn Chăn nuôi"
NDN,CTCP Đầu tư Phát triển Nhà Đà NẵngBất động sản Dân dụng & Khu chung cư
NFC,Phân lân Ninh BìnhHóa chất Nông nghiệp (Phân lân nung chảy)
NRC,Công ty Cổ phần Tập đoàn Bất Động Sản Quốc GiaPhát triển dự án Bất động sản Netland
NSH,CTCP Tập đoàn Nhôm Sông Hồng ShalumiLuyện Nhôm & Sản xuất Khuôn Nhôm Công nghiệp
NST,CTCP Ngân SơnGia công & Phân phối Thuốc lá Điếu
NTH,CTCP Thủy điện Nước TrongSản xuất & Phân phối Thủy điện Cỡ nhỏ
NTP,CTCP Nhựa Thiếu niên Tiền PhongSản xuất Nhựa Vật liệu Xây dựng & Cấp thoát nước
NVB,Ngân hàng TMCP Quốc DânTài chính - Ngân hàng (National Citizen Bank)
ONE,"Công ty Cổ phần Công nghệ ONETích hợp Hệ thống Viễn thông, Cung cấp Thiết bị CNTT"
PDB,"Công ty cổ phần Tập đoàn đầu tư Din CapitalKinh doanh Vật liệu Bê tông, Đá, Cát Xây dựng"
PHN,CTCP Pin Hà NộiSản xuất Pin Ăng-ten & Linh kiện Điện tử (Pin Con Thỏ)
PIC,Công ty cổ phần Đầu tư Điện lực 3Đầu tư Phát triển Nhà máy Thủy điện
PLC,"Tổng Công ty Hóa dầu Petrolimex - CTCPKinh doanh Hóa dầu, Dầu nhớt & Nhựa đường"
POB,Công ty Cổ phần Xăng dầu Dầu khí Thái BìnhPhân phối Tiêu thụ Xăng dầu Nội địa
POS,"Công ty CP Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí biển PTSCCung ứng Dịch vụ Vận hành (O&M) Ngoài khơi"
POV,Công ty Cổ phần Xăng dầu Dầu khí Vũng ÁngPhân phối Bán buôn Bán lẻ Xăng dầu Dầu khí
PPS,Công ty cổ phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt NamDịch vụ Bảo dưỡng Vận hành Nhà máy Điện Khí
PPT,"Công ty cổ phần Petro TimesThương mại Logistics Dầu khí, Vận tải Xăng dầu"
PPY,"CTCP Xăng dầu Dầu khí Phú YênBán lẻ Xăng dầu Khu vực Phú Yên, Nam Trung Bộ"
PRC,CTCP Logistics PortsercoLogistics Kho bãi & Giao nhận Hàng hóa Cảng biển
PRE,"Tổng công ty cổ phần Tái bảo hiểm Hà NộiDịch vụ Tái bảo hiểm Hàng hóa, Cháy nổ & Hàng hải"
PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài GònVận tải Chuyên dụng Sản phẩm Dầu & Khí
PSE,"CTCP Phân bón và Hóa chất Dầu khí Đông Nam BộKinh doanh Phân bón Nông nghiệp, Đạm Phú Mỹ"
PSI,"Công ty Cổ phần Chứng khoán Dầu khíDịch vụ Tài chính, Đầu tư, Bảo lãnh Phát hành"
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam BộCung ứng Phân bón Sản phẩm Nông nghiệp Vùng ĐBSCL
PTD,CÔNG TY CỔ PHẦN THIẾT KẾ XÂY DỰNG THƯƠNG MẠI PHÚC THỊNHTư vấn Thiết kế Kiến trúc Xây dựng
PTH,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hà TâyKinh doanh Vận tải Đường bộ Xăng dầu
PTI,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM BƯU ĐIỆNBảo hiểm Phi Nhân thọ Phân phối qua Bưu điện
PTS,"CTCP Vận tải và Dịch vụ Petrolimex Hải PhòngDịch vụ Vận tải Sông, Đại lý Tàu biển"
PTT,"Công ty Cổ phần Vận tải Dầu khí Đông DươngVận tải Dầu Khí Đặc chủng Đường bộ, Đường thủy"
PTV,Công ty cổ phần Thương mại Dầu khíKinh doanh Xuất Nhập khẩu Dầu thô & Khí hóa lỏng
PTX,"Công ty cổ phần Vận tải và Dịch vụ Petrolimex Nghệ TĩnhDịch vụ Bơm rót, Đại lý Dầu nhờn Petrolimex"
PV2,Công ty cổ phần GENEA CAPITALĐầu tư Tài chính Bất động sản Tư nhân
PVB,CTCP Bọc Ống Dầu khí Việt NamCung cấp Dịch vụ Bọc ống Chống ăn mòn Dẫn Dầu/Khí
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCPSản xuất Dung dịch Khoan & Hóa phẩm Khai thác Dầu
PVE,Tổng Công ty Tư vấn Thiết kế Dầu khíThiết kế Quy hoạch Cơ sở Hạ tầng Ngành Dầu khí
PVG,Công ty Cổ phần Kinh doanh LPG Việt NamThương mại Phân phối Khí Hóa lỏng Bình gas
PVM,Công ty Cổ phần Máy – Thiết bị Dầu khíNhập khẩu Cung ứng Thiết bị Vật tư Chuyên ngành Máy Mỏ
QTC,CTCP Công trình Giao thông Đồng NaiXây dựng Hạ tầng Cầu đường Giao thông Tỉnh Đồng Nai
RCL,CTCP Địa ốc Chợ LớnPhát triển Kinh doanh Bất động sản Đô thị (Cholimex)
S99,"Công ty cổ phần SCIThi công Công trình Thủy điện, Xây lắp Năng lượng Tái tạo"
SDC,CTCP Xây dựng Sông ĐàNhà thầu Xây dựng Công trình Dân dụng & Thủy điện Sông Đà
SDG,CTCP Xây dựng Cấp nước Sơn LaDịch vụ Cung cấp Nước Sạch & Lắp đặt Hệ thống Ống Dẫn
SEB,CTCP Đầu tư Phát triển Điện Miền TrungSản xuất & Kinh doanh Phát điện Thủy điện (Thủy điện Sê San)
SGH,CTCP Khách sạn Sài GònKinh doanh Khách sạn & Du lịch Lữ hành Nội địa
SHN,CTCP Đầu tư Tổng hợp Hà NộiBất động sản & Phân phối Thương mại (HANIC)
SID,CTCP Đầu tư Phát triển Sài Gòn Co.opBất động sản Thương mại & Xây dựng Chuỗi Siêu thị
SLS,"Công ty Cổ phần Mía đường Sơn LaNông nghiệp Sản xuất, Tinh luyện & Cung ứng Mía Đường"
SMT,Công ty cổ phần SAMETELThiết bị Vật tư Viễn thông & Linh kiện Cáp Quang Công nghiệp
SRA,"Công ty Cổ phần SARA Việt NamKinh doanh Thiết bị Y tế, Giải pháp Công nghệ Y tế số"
ST8,Công ty Cổ phần Tập đoàn ST8Đầu tư Mua bán Sáp nhập Doanh nghiệp & Thương mại Dịch vụ
SVN,CTCP SolavinaThiết kế Khảo sát & Thi công Trọn gói Xây dựng Dân dụng
TAB,CTCP Xây dựng và Đầu tư 492Thầu Giao thông Thi công Công trình Đường bộ
TAH,Bệnh viện Đa khoa Tâm Anh (Dự kiến đăng ký giao dịch)Cung cấp Dịch vụ Y tế & Khám chữa bệnh Đa khoa
TBD,Công ty Thiết bị điện Đông AnhCung cấp Dịch vụ Hệ thống Máy biến áp Lưới điện Cao thế
TDN,Công ty Cổ phần Than Đèo Nai - VinacominKhai thác Than Lộ thiên tại Lưu vực mỏ Cẩm Phả
THD,"CTCP ThaiholdingsĐầu tư Holding Tập đoàn Đa ngành (Bất động sản, Vật liệu)"
TIG,Công ty Cổ phần Tập đoàn Đầu tư Thăng LongPhát triển Dự án Khu Đô thị & Kinh doanh Du lịch Nghỉ dưỡng
TKU,"CTCP Công nghiệp Tung KuangGia công Luyện Kim, Chế tạo Cửa Nhôm & Sản phẩm Nhôm Công nghiệp"
TMB,CÔNG TY CỔ PHẦN KINH DOANH THAN MIỀN BẮCKinh doanh Thương mại Cung ứng Than phục vụ Điện lực Miền Bắc
TNG,Công ty Cổ phần Đầu tư và Thương mại TNGSản xuất May mặc Thời trang Xuất khẩu thị trường Âu Mỹ
TTC,"Gạch men Thanh ThanhSản xuất Vật liệu Gạch ốp lát, Gốm sứ Xây dựng"
TTH,CTCP Thương mại và Dịch vụ Tiến ThànhPhân phối Dịch vụ Bán lẻ Hàng May mặc & Thiết bị Công nghiệp
TTS,"CTCP Cán thép Thái TrungChế biến Thép Cuộn, Thép Cốt Bê tông Phục vụ Xây dựng"
TV6,Công ty Cổ phần Thịnh Vượng TVTĐầu tư Khai thác Vận hành Hạ tầng Công trình & Thương mại Vật tư
TVC,Công ty Cổ phần Tập đoàn Quản lý tài sản T-CorpĐầu tư & Quản lý Tài sản Doanh nghiệp Đa ngành
TVD,Công ty Cổ phần Than Vàng Danh - VinacominKhai thác Tuyển Than Hầm lò Vùng Uông Bí Quảng Ninh
TXM,CTCP Vicem Thạch cao Xi măngCung ứng Khai thác Nguyên vật liệu phụ gia Sản xuất Xi măng
UNI,CTCP ĐẦU TƯ VÀ PHÁT TRIỂN SAO MAI VIỆTTích hợp Công nghệ Giải pháp Phần mềm & Đầu tư Khởi nghiệp
VC3,"Công ty Cổ phần Tập đoàn Nam Mê KôngBất động sản Dân dụng, Đầu tư Phát triển Khu đô thị Bảo Ninh"
VC9,Công ty Cổ phần Xây dựng số 9Xây dựng Bất động sản Dân cư & Thi công Trọn gói
VCS,Công ty Cổ phần VICOSTONECông nghệ Vật liệu Cao cấp - Sản xuất Đá Thạch anh Nhân tạo
VE3,Công ty Cổ phần Khảo sát Xây dựng Số 3Tư vấn Khảo sát Địa chất & Thiết kế Công trình Giao thông
VIG,"CTCP Chứng khoán Đầu tư Tài chính Việt NamDịch vụ Tư vấn Tài chính Doanh nghiệp, Đầu tư Quản lý Danh mục"
VIT,"Công ty cổ phần Viglacera Tiên SơnSản xuất Gạch ốp lát, Granit & Gốm sứ Vật liệu Xây dựng Cao cấp"
VTH,"Công ty Cổ phần Dây cáp điện Việt TháiCông nghiệp Sản xuất Cáp Đồng, Cáp Nhôm Cung ứng Lưới điện"
VTJ,CTCP Thương mại và Đầu tư Vi na ta baĐầu tư Bất động sản & Phân phối Thuốc lá Điếu Công nghiệp
